Accession Number,Inventory (x = verified),Genus,Species,Date Collected,UUID,Verified
A40171,x,Dictyota,binghamiae,1969 Jun 01,65D9CE0A-163A-EC4A-AEF0-F47466C3DB29,03/17/2020
A55511,x,Dictyota,binghamiae,1976 Apr 01,F14E5019-EF56-DD4D-BFF0-7F3923509331,03/17/2020
A55496,x,Dictyota,binghamiae,1976 Apr 01,4F6A1888-B2C5-094D-9129-6CFE90A87DF2,03/17/2020
A43403,x,Dictyota,binghamiae,1969 Aug 01,C0821105-6FD9-E043-A955-BE1A28415153,03/17/2020
A38839,x,Dictyota,binghamiae,1968 Sep 03,BE4DE0C8-89E4-634E-A798-BE74A3589ACF,03/17/2020
A38365,x,Dictyota,binghamiae,1968 Sep 01,54F6E9C1-6D08-EA4B-A6A3-E4B3292DDECF,03/17/2020
A38364,x,Dictyota,binghamiae,1968 Aug 31,FCC2C772-F017-244F-ACA0-80B11229011C,03/17/2020
A38684,x,Dictyota,binghamiae,1968 Aug 31,1585C1B2-A1B8-8F49-AA7E-64E4651116AF,03/17/2020
A38363,x,Dictyota,binghamiae,1968 Aug 31,786EAE30-6716-0149-9C91-F69D99980345,03/17/2020
A38131,x,Dictyota,binghamiae,1968 Aug 28,B2AD8366-0822-EA44-B7E7-550FC3496A06,03/17/2020
A38132,x,Dictyota,binghamiae,1968 Aug 27,476EF3FD-5B74-294C-BBB9-C4676FB04552,03/17/2020
A35927,x,Dictyota,binghamiae,1968 Aug 20,3FE3D5AE-0AFF-8C42-8247-7C1FE9821657,03/17/2020
A35926,x,Dictyota,binghamiae,1968 Aug 19,B098A20B-E1C0-2748-9A52-837F4C9C14E4,03/17/2020
A36807,x,Dictyota,binghamiae,1968 Aug 18,2F925A34-C5EA-ED4F-9C00-7F892321689A,03/17/2020
A36808,x,Dictyota,binghamiae,1968 Aug 17,E9882D18-7B8A-CB43-8DA4-9FB3B0DDCA46,03/17/2020
A36516,x,Dictyota,binghamiae,1968 Aug 17,DC08E9EB-24DC-4546-B122-E730BFBF4FED,03/17/2020
A36306,x,Dictyota,binghamiae,1968 Aug 14,3B21A0BB-C767-E64C-9437-4F478B59F6E9,03/17/2020
A36149,x,Dictyota,binghamiae,1968 Aug 12,E96DED51-F019-704C-B191-653B8138CA90,03/17/2020
A35925,x,Dictyota,binghamiae,1968 Aug 11,E54FB946-965A-D54B-9260-2F22BCA2092C,03/17/2020
A36515,x,Dictyota,binghamiae,1968 Aug 11,FA741FFE-DFB3-604B-98F8-B9E6532B9600,03/17/2020
A36514,x,Dictyota,binghamiae,1968 Aug 11,0C7BA996-AADB-0544-AE61-57FB46938B32,03/17/2020
A55590,x,Dictyota,binghamiae,1976 Mar 26,07CFB0E6-8136-CB45-86F6-2C2270FFBF0B,03/17/2020
A55418,x,Dictyota,binghamiae,1976 Mar 31,A3CD5842-93DC-BC43-B6B9-71EDAD2146A9,03/17/2020
A48869,x,Dictyota,binghamiae,1970 Sep 14,35FF43CE-5468-DA49-999D-142FC8E846E0,03/17/2020
A27559,x,Dictyosiphon,foeniculaceus,1966 Jul 28,E1C6D73D-DDE1-0E42-B187-86FC792C7EB4,03/17/2020
A27558,x,Dictyosiphon,foeniculaceus,1966 Jul 28,716F11AD-F65F-E34F-8F33-93FD3ACE7B87,03/17/2020
A25937,x,Dictyosiphon,foeniculaceus,1966 Jul 08,498D4DA2-AB05-6643-BBF3-A6D78F07810B,03/17/2020
A22156,x,Dictyosiphon,foeniculaceus,1965 Jul 01,550DFA0E-F33B-554B-AF60-2CB1FC0B26CD,03/17/2020
A13768,x,Dictyosiphon,foeniculaceus,1960 Jul 12,AB1C476B-4EBA-8A46-B698-951F2114FB09,03/17/2020
A13700,x,Dictyosiphon,foeniculaceus,1960 Jul 08,FFEA9A1B-1F9F-6546-B41D-562D6F869EFF,03/17/2020
A9633,x,Dictyosiphon,foeniculaceus,1960 Jun 26,4E6B224D-E7F8-DD46-8B7A-E9F3B9634410,03/17/2020
A9685,x,Dictyosiphon,foeniculaceus,1960 Jun 13,A7949CC8-8E4E-324C-825D-19230888C1D8,03/17/2020
A60537,x,Dictyosiphon,foeniculaceus,1979 Apr 27,A0288EE2-4516-FF48-942E-9E2C489916E4,03/17/2020
A60596,x,Dictyosiphon,foeniculaceus,1979 Apr 05,F9DB7300-33A7-0C47-93EA-9CF26E86D776,03/17/2020
A60627,x,Dictyosiphon,foeniculaceus,1979 Apr 25,8E77AA5C-94B2-7F4A-9316-EC44B91BE51D,03/17/2020
A62542,x,Dictyosiphon,foeniculaceus,1980 Aug 01,E18A351A-D277-6947-BD00-7C40EC54BD29,03/17/2020
A62450,x,Dictyosiphon,foeniculaceus,1980 Jul 28,B87096AE-B2AF-8B45-9428-307DD6040C30,03/17/2020
A299,x,Dictyosiphon,foeniculaceus,1954 Jul 08,7EE0C3DF-BC2A-0E44-8B09-101792BC90B9,03/17/2020
A62527,x,Dictyosiphon,foeniculaceus,1980 Jul 30,0405A64F-04AB-ED4A-81A3-BF69339B8450,03/17/2020
A62446,x,Dictyosiphon,foeniculaceus,1980 Jul 27,A53EADAD-A97F-BE49-AF19-CADA912C0EDE,03/17/2020
A54374,x,Dictyosiphon,foeniculaceus,1975 Jul 15,B7367EFB-4833-B645-9688-C7130059D052,03/17/2020
A54373,x,Dictyosiphon,foeniculaceus,1975 Jul 15,C469F1C2-4B4C-7D4D-8AF5-C9C2C6A94A4E,03/17/2020
A54233,x,Dictyosiphon,foeniculaceus,1975 Jun 09,FC371070-58E2-DC4E-9AE2-29B19E2BC643,03/17/2020
A52592,x,Dictyosiphon,foeniculaceus,1966 Jan 26,CC8A4D70-4AD3-A149-856F-28F89A0803F3,03/17/2020
A52591,x,Dictyosiphon,foeniculaceus,1966 Jan 26,EEC027FB-4C4B-154D-9D4A-872B87A77D35,03/17/2020
A43159,x,Dictyosiphon,foeniculaceus,1969 Jul 30,EFD58C12-38C2-1B45-8EDE-1A213F0C45B2,03/17/2020
A63108,x,Dictyosiphon,foeniculaceus,1979 May 09,27915316-31D8-744B-A983-5C6A1D0C811B,03/17/2020
A26610,x,Dictyosiphon,foeniculaceus,1966 Jun 14,205857F5-EFAD-CE43-8E2B-76644712AE35,03/17/2020
A300,x,Dictyosiphon,foeniculaceus,1936 Jul 01,D26474C6-9ED4-2247-AEF8-F858F86815D1,03/17/2020
A23818,x,Dictyosiphon,foeniculaceus,1945 Jul 07,29C4169F-FB2F-2949-8064-EF3C3164054D,03/17/2020
A63641,x,Dictyosiphon,foeniculaceus,1827,959EAC91-6F38-994F-B0A5-72B6D612E4D0,03/17/2020
A59341,x,Dictyosiphon,macounii,1977 Apr 22,B2336D97-4B69-224A-88FF-9F2CC8924CEA,03/17/2020
A46368,x,Dictyota,radicans,1946 Jan 30,1FF16703-A587-194C-98A1-61973C8BC330,03/17/2020
A46369,x,Dictyota,radicans,1946 Jan 30,51593784-8557-7540-8710-6CC8153F1ACA,03/17/2020
A24274,x,Dictyota,volubilis,1964 May 04,B9DD1E94-CC3C-F547-9ED6-22472DE6C8AA,03/17/2020
A56422,x,Dictyota,sp.,1962 Nov 05,69F8C44D-D7BD-DD4F-99AB-9B5ECF07093E,03/17/2020
A56420,x,Dictyota,sp.,1962 Nov 02,7EF359EB-853E-EE4E-8B56-6C5AE03225E1,03/17/2020
A1623,x,Dictyota,sp.,1955 Apr 18,73FDB753-19C6-F345-9F32-083B8E4E24EA,03/17/2020
A6547,x,Dictyota,sp.,1956 Jan 01,D5CF05BB-AB00-F542-9AF4-A3EDADF6E004,03/17/2020
A43367,x,Dictyota,sp.,1970 Feb 05,07AF2E19-E7B7-BD44-9350-68037D2F9B22,03/17/2020
A43366,x,Dictyota,sp.,1970 Feb 05,2A6F661D-5AB5-3E41-82B2-3721B98D91BE,03/17/2020
A2692,x,Dictyota,sp.,1957 Dec 12,4FB34D19-DD97-2449-818D-E0C5D2793850,03/17/2020
A16113,x,Dictyota,sp.,1957 Dec 12,C86D2A82-3C2B-4142-884B-938C9A01C857,03/17/2020
A59630,x,Dictyota,sp.,1934 Dec,CBCA9727-BCE7-E54F-9787-B751DF88DF9C,03/17/2020
A59539,x,Dictyota,sp.,1935 Jan 04,F4579C49-30CD-C846-8D34-D2659488FB09,03/17/2020
A43365,x,Dictyota,sp.,1970 Feb 05,B5F04518-8DF1-F446-B980-A7A01EB2688D,03/17/2020
A43364,x,Dictyota,sp.,1969 Oct 01,5BF9EE06-3DF3-3344-B8ED-CCE58E5706E2,03/17/2020
A16184,x,Dictyota,sp.,1957 Dec 07,E085E306-6AE0-EE4C-9D04-56A022E53BA9,03/17/2020
A42505,x,Dictyota,sp.,1968 May 12,A7CCB9A7-108A-BF48-A9A0-89B90A5AE227,03/17/2020
A16185,x,Dictyota,sp.,1957 Oct 20,980AA7C9-6014-5347-AA76-485A86C9F486,03/17/2020
A52603,x,Dictyota,sp.,1967 Sep 21,E3891C51-559F-3848-97CE-748A687D991A,03/17/2020
