Accession Number,Inventory (x = verified),Genus,Species,Date Collected,UUID,Verified
A36504,x,Ectocarpus,siliculosus,1968 Aug 11,D6042EA7-B8AE-8646-A5EB-FA9EDD21DD45,03/17/2020
A8160,x,Ectocarpus,siliculosus,1960 Jun 24,ADD1D5A0-C361-1D45-88FA-2AEB66205843,03/17/2020
A8282,x,Ectocarpus,siliculosus,1960 Jun 10,16C20F02-48BE-1946-922F-1D6D6C2EDD7A,03/17/2020
A320,x,Ectocarpus,sphaerophorus,[unknown],585F99B4-EDCE-AD47-AAC0-74598518B897,03/17/2020
A319,x,Ectocarpus,sphaerophorus,[unknown],4226BB4A-C75C-8741-B582-D824FA6AEA8B,03/17/2020
A318,x,Ectocarpus,sphaerophorus,[unknown],1B87EF2F-0EB8-C849-8C48-AEF7E9538586,03/17/2020
A37189,x,Ectocarpus,sp.,1968 Aug 15,9E380BC6-9D80-EA4E-919F-F13ED960B42A,03/17/2020
A35786,x,Ectocarpus,sp.,1968 Aug 12,C07BA9FC-F219-0549-9A6A-653EEE2282A4,03/17/2020
A31063,x,Ectocarpus,sp.,1967 Jul 08,D7F8DE6E-673C-2346-B9E9-E3C9A1F4B651,03/17/2020
A32530,x,Ectocarpus,sp.,1968 Mar 23,A1813EEA-D297-D341-BB24-98FE2796196F,03/17/2020
A30020,x,Ectocarpus,sp.,1967 May 23,9E3720CF-E7D7-924F-A0B1-FF1ECCA67AC9,03/17/2020
A30021,x,Ectocarpus,sp.,1967 May 23,9FBACFD9-0324-BA4B-B888-C147D47B7953,03/17/2020
A34032,x,Ectocarpus,sp.,1968 Jun 11,339DD5E9-1895-C942-971C-831D325E891F,03/17/2020
A34710,x,Ectocarpus,sp.,1968 Jul 10,5E42BA61-8A9E-EF43-9E73-8B403C6E0421,03/17/2020
A34031,x,Ectocarpus,sp.,1968 Jun 11,E82C0C58-6A1C-0343-BCE8-E66CEDE51D00,03/17/2020
A33121,x,Ectocarpus,sp.,1968 May 13,32E75F22-B2CF-AD44-BF9E-040AF1C89C1D,03/17/2020
A33120,x,Ectocarpus,sp.,1968 May 13,8EBBF996-1337-C544-94EC-5C001A42292C,03/17/2020
A32032,x,Ectocarpus,sp.,1967 Nov 03,AA5702F8-861F-1B4B-92E8-E2A78D21BD0F,03/17/2020
A31484,x,Ectocarpus,sp.,1967 Aug 05,610285A7-739F-8140-A2C1-64AF32938629,03/17/2020
A31817,x,Ectocarpus,sp.,1967 Aug 17,E634A0B2-25EC-274A-9385-1551D9921A1A,03/17/2020
A29893,x,Ectocarpus,sp.,1967 Jul 07,92369021-93FA-3B4E-93A3-309F6E493CD9,03/17/2020
A35288,x,Ectocarpus,sp.,1968 Jul 24,4B7F741E-43C0-8541-9763-7DC6B2FC5A9B,03/17/2020
A38841,x,Ectocarpus,sp.,1968 Oct 25,3C78DC4B-B17A-EE4A-9B6F-5218EE4F7B7E,03/17/2020
A11208,x,Ectocarpus,sp.,1959 May 26,A691F960-6D4D-9B43-9F07-4733EA7CA592,03/17/2020
A40034,x,Ectocarpus,sp.,1969 May 08,5A9228F9-0D28-BA44-98D7-33D149BB402D,03/17/2020
A35928,x,Ectocarpus,sp.,1968 Aug 16,B641F74F-75B4-6E4B-8CA0-E7C8337A3687,03/17/2020
A31818,x,Ectocarpus,sp.,1967 Aug 17,380D295F-32A3-4D48-BB71-06663E0CD7BC,03/17/2020
A34121,x,Ectocarpus,sp.,1968 Jun 12,744A304A-3F20-A047-B517-334E78E00194,03/17/2020
A33270,x,Ectocarpus,sp.,1968 May 15,A5DF520D-ECD8-364E-8707-95AA5EAD47D7,03/17/2020
A33119,x,Ectocarpus,sp.,1968 May 14,E72BD4CF-316A-D544-98F3-6AB3C6F1C0E6,03/17/2020
A29618,x,Ectocarpus,sp.,1967 May 09,998E9117-DA45-E947-9060-265A8276A671,03/17/2020
A31816,x,Ectocarpus,sp.,1967 May 09,9639DDC7-20B1-3348-ABC4-7CFBDE06A40B,03/17/2020
A30354,x,Ectocarpus,sp.,1967 Jun 20,6DB417D3-A651-0C45-8CD4-A4995897B4B8,03/17/2020
A32900,x,Ectocarpus,sp.,1968 Apr 28,57BE530D-7DB0-404F-B6CB-E3A04BA0E4C8,03/17/2020
A32899,x,Ectocarpus,sp.,1968 Apr 14,DF5984F8-E637-6542-9F27-5DBE5BBF9E77,03/17/2020
A32898,x,Ectocarpus,sp.,1968 Apr 14,A50C74BD-9978-7F49-8290-7EEBE73AAE22,03/17/2020
