Accession Number,X = Inventoried,Genus,Species,Date Collected,UUID,Verified
A55585,X,Ectocarpus,siliculosus,1976 Mar 26,0F3A92E7-63CF-8A4D-A941-66F4760A9D93,03/16/2020
A55103,X,Ectocarpus,siliculosus,1976 Mar 25,5F3109AC-39BE-A84D-88C3-296DB3ECD6A4,03/16/2020
A52376,X,Ectocarpus,siliculosus,1975 Feb 27,6168948E-796C-3641-A957-7506450241E5,03/16/2020
A52842,X,Ectocarpus,siliculosus,1975 Apr 15,5209421B-7D9D-C743-B88F-724DD763CD20,03/16/2020
A50404,X,Ectocarpus,siliculosus,1974 Feb 26,FD76EACF-651E-4A46-845D-6C2DDC3C098F,03/16/2020
A52233,X,Ectocarpus,siliculosus,1975 Feb 25,3885159E-1303-8F4F-A5F5-91837D4B81B8,03/16/2020
A46814,X,Ectocarpus,siliculosus,NA,68DCC388-A586-004D-91EE-04ADC1EEA66D,03/16/2020
A314,X,Ectocarpus,siliculosus,1918 Jan,7CC52A9B-7852-A64C-B247-033AC08979E3,03/16/2020
A317,X,Ectocarpus,siliculosus,1918 Jan,97CD8E19-1E96-0E47-8E4B-85545F8E6DE3,03/16/2020
A64009,X,Ectocarpus,siliculosus,1913,D87DCA87-8F9E-6D4F-81DE-A0A33EB6C9F5,03/16/2020
A64010,X,Ectocarpus,siliculosus,1917,ACDF9DEC-7D75-ED45-90A9-95025BCEB9D7,03/16/2020
A33269,X,Ectocarpus,siliculosus,1968 May 15,76D47FA0-0606-CA43-9193-8185F50473AD,03/16/2020
A46104,X,Ectocarpus,siliculosus,1972 Jan 30,C124EAF9-D264-D046-93E2-B701127C771F,03/16/2020
A46105,X,Ectocarpus,siliculosus,1972 Jan 30,BED1AFF9-E568-C44D-8A4D-B5B788C89236,03/16/2020
A66514,X,Ectocarpus,sp.,1982 Apr 23,D12CFDD5-A5A1-284D-AB45-C275BD049B5F,03/16/2020
A66801,X,Ectocarpus,siliculosus,1982 Mar 27,74731B47-1E07-6644-BA73-1A8536F5F100,03/16/2020
A67029,X,Ectocarpus,confervoides,1982 Jul 19,81C7C2EB-7461-0B4D-9E61-FB92BD2E22F7,03/16/2020
A67025,X,Ectocarpus,confervoides,1982 Jul 30,BEAB7E35-D518-2443-9281-8DFD82E654A9,03/16/2020
A67040,X,Ectocarpus,confervoides,1982 Jul 18,B3F7AA3C-E8AE-E04A-971D-51F2CEC0017B,03/16/2020
A67048,X,Ectocarpus,confervoides,1982 Jul 15,B3E0A413-2CD0-7A46-87DA-C560EA8CA8B9,03/16/2020
A67076,X,Ectocarpus,siliculosus,8/7/1982,D516DD2B-8926-8B4C-9087-0B2AAD9F9D9A,03/16/2020
A89117,X,Ectocarpus,siliculosus,2011 Aug 11,4B488843-4F4B-234E-8D36-E1E97A0EABF2,03/16/2020
A67358,X,Ectocarpus,siliculosus,1982 Jul 05,87DA8D4E-9BBA-4743-9F16-749BCB0B3071,03/16/2020
A56208,X,Ectocarpus,siliculosus,1976 Mar 27,877BE4E1-F3E0-CE4F-8781-B34F83B3A5BF,03/16/2020
A57055,X,Ectocarpus,siliculosus,1976 Mar 31,A1C7E7A7-4092-244C-A36C-B7696B17A594,03/16/2020
A64339,X,Ectocarpus,siliculosus,1981 Jul 12,140B30C8-7AE8-B143-92A0-890AC59F0D2D,03/16/2020
A64693,X,Ectocarpus,siliculosus,1981 Jul 17,31D8AAFE-A585-5448-BC99-78122E8AFE3F,03/16/2020
A82441,X,Ectocarpus,siliculosus,1994 Jun 24,1B3F0AA2-D4EC-6549-B3E2-6CD293B7FF69,03/16/2020
A68378,x,Ecklonia,stolonifera,1985 Aug 17,B78CA5A6-072B-034C-BCE1-4755C80D6053,03/16/2020
A44300,x,Ectocarpus,sp.,1970 Feb 10,CF9C3ED8-0FC5-4445-B690-161DE2473F19,03/16/2020
A43370,x,Ecklonia,radiata,1970 Feb 05,72262866-D366-134F-9464-F224105A5A23,03/16/2020
A44425,x,Ectocarpus,sp.,1970 Feb 07,A120467B-BE15-FC4E-8B36-997C7607A4E0,03/16/2020
A44400,x,Ectocarpus,sp.,1970 Feb 22,F2302060-02B2-EA4A-82C6-658A4D7FA8E5,03/16/2020
A44401,x,Ectocarpus,sp.,1970 Feb 16,279F8931-533F-0A4D-9836-C8670751AB70,03/16/2020
A44402,x,Ectocarpus,sp.,1970 Feb 16,847CE6B8-E62A-7840-B7BD-77AB3341007A,03/16/2020
A44407,x,Ectocarpus,sp.,1970 Feb 15,6416D387-FFAF-484D-B6D2-F7B41F8E3430,03/16/2020
A44408,x,Ectocarpus,sp.,1970 Feb 15,1545495A-8308-594A-8A05-7C72E8E740B3,03/16/2020
A44409,x,Ectocarpus,sp.,1970 Feb 15,A5626B49-E3F4-044F-AC0D-0A6127A31CB9,03/16/2020
A44415,x,Ectocarpus,sp.,1970 Jan 29,85602900-EA2C-FA49-A279-A375207D797B,03/16/2020
A44411,x,Ectocarpus,sp.,1970 Jan 31,C7AA06D9-FF84-0A47-A8EF-A7C7647FA6ED,03/16/2020
A44412,x,Ectocarpus,sp.,1970 Jan 29,C7E98803-47CD-3942-8A6A-3EA271ED65EF,03/16/2020
A45307,x,Ectocarpus,sp.,1970 Feb 14,E5FC9CE5-287D-C44F-A383-3A70F6011666,03/16/2020
A45306,x,Ectocarpus,sp.,1970 Feb 14,DB5D3979-9813-CC4F-AA87-DC2176706D86,03/16/2020
A45305,x,Ectocarpus,sp.,1970 Feb 14,BA675310-66FC-0A4F-B89A-1E7C1B76BF28,03/16/2020
A44404,x,Ectocarpus,sp.,1970 Feb 19,6D72F9BA-66DC-CF44-BA1D-E8CFAC610105,03/16/2020
A44405,x,Ectocarpus,sp.,1970 Feb 19,BB739C07-CA0F-714C-B5F3-7A6689C6450D,03/16/2020
A44406,x,Ectocarpus,sp.,1970 Feb 15,092B1237-E109-474C-8C61-6289F993874B,03/16/2020
A59401,x,Ecklonia,radiata,1912 Oct 15,A1050F78-B8E5-3B4E-BCFE-A04CE4B24AAD,03/16/2020
A59402,x,Ecklonia,radiata,1912 Oct 15,1B909F64-E4D3-AA49-B322-008168494B22,03/16/2020
A56050,x,Ecklonia,radiata,1934 Oct,9CEFB797-C302-9443-9F36-D13B64FD6A71,03/16/2020
A56051,x,Ecklonia,radiata,1934 Oct,7F023D6C-DD20-3046-8C60-9420AF37382E,03/16/2020
A56057,x,Ecklonia,radiata,1935 Jan,EF8B125E-A85F-C346-B326-C98A831B6EED,03/16/2020
A56058,x,Ecklonia,radiata,1935 Jan,1025BE55-33CD-E746-9C69-8B90084CD204,03/16/2020
A45841,x,Ecklonia,radiata,1964 Aug 10,A580DFFE-F88A-EA46-BC49-A40FB807D7E8,03/16/2020
A46215,x,Ecklonia,radiata,1970 Aug 18,D2C2D764-14C4-6B45-8B02-DF17A9F07116,03/16/2020
A46373,x,Ecklonia,radiata,1937 Jul 10,9DA715FC-CD69-194C-9792-9AA612B2282C,03/16/2020
A46374,x,Ecklonia,richardiana,1946 Jun 15,B5FD7EA9-54E3-CF45-9FDE-5BD226E7DF2F,03/16/2020
A50174,x,Ecklonia,stolonifera,1971 Aug 23,039C58CB-BDA1-9D4E-9257-6C9410ED27E4,03/16/2020
A4593,x,Ecklonia,sp.,[In japanese],1E0315FE-BD17-4845-BABF-D4A2D58DA5C6,03/16/2020
A4682,x,Ecklonia,radiata,1946 Jun 24,E9AE18C8-43BE-524F-B5C5-8DE24476AD2D,03/16/2020
A4683,x,Ecklonia,sp.,1937 May 15,454EE2EE-537E-6A4B-92A3-FDD5C7EC6B15,03/16/2020
A84563,x,Ecklonia,stolonifera,1993 Sep 30,A80AC166-A1D0-2A4A-AFA8-4C2C3BAA9A18,03/16/2020
A85863,x,Ecklonia,stolonifera,2005 Jun 12,5BB89C29-0C3F-C449-AE19-9304CF40AC61,03/16/2020
A88306,x,Ecklonia,radiata,2008 Dec 07,BF974153-A585-B343-99E6-0F31D0580C1C,03/16/2020
A92427,x,Ecklonia,radiata,1991 Jun 21,887C95D4-7247-D249-BA3C-A7F8C68179E4,03/16/2020
